id,bank_name,bank_category,loan_name,loan_name_en,calculation_method,interest_rate_min,interest_rate_max,max_amount,repayment_period_min,repayment_period_max,guarantor_required,description_fa,loan_slug
70,سپینو,digital,کارت مرابحه,Murabaha Card,credit_card,23.00,25.00,285273396,3,24,t,"",sepino__murabaha-card
65,سپینو,digital,نیترو,Nitro,credit_card,20.40,21.10,272334507,3,24,t,"",sepino__nitro
71,سپینو,digital,وام ازدواج,Wedding Loan,credit_card,23.10,23.40,197128225,3,24,t,"",sepino__wedding-loan
61,کیوبانک,digital,بدون ضامن,No Guarantor,credit_card,20.80,22.40,261499399,3,24,t,"",qbank__no-guarantor
62,کیوبانک,digital,کالاکارت,Kala Kart,credit_card,19.10,19.30,186210236,3,24,t,"",qbank__kala-kart
63,کیوبانک,digital,مهریار,Mehryar,credit_card,20.50,21.50,245815169,3,24,t,"",qbank__mehryar
64,کیوبانک,digital,مهریار سازمانی,Mehryar Sazmani,credit_card,22.00,24.00,119683574,3,24,t,"",qbank__mehryar-sazmani
59,کیوبانک,digital,نصر,Nasr,credit_card,19.40,20.80,142847361,3,24,t,"",qbank__nasr
60,کیوبانک,digital,نیلوفر,Niloofar,credit_card,18.80,20.70,214208618,3,24,t,"",qbank__niloofar
56,نشان بانک,digital,حمایت کرونا,Corona Support,credit_card,21.50,22.00,144043476,3,24,t,"",neshan-bank__corona-support
58,نشان بانک,digital,زرنشان,Zar Neshan,credit_card,23.40,25.20,114171469,3,24,t,"",neshan-bank__zar-neshan
57,نشان بانک,digital,نشان اعتباری,Neshan Etebari,credit_card,18.40,19.70,145788356,3,24,t,"",neshan-bank__neshan-etebari
53,های بانک,digital,سطح ۱,Tier 1,credit_card,19.20,19.80,299029871,3,24,t,"",hi-bank__tier-1
54,های بانک,digital,سطح ۲,Tier 2,credit_card,21.90,22.80,203515168,3,24,t,"",hi-bank__tier-2
55,های بانک,digital,سطح ۳,Tier 3,credit_card,18.70,19.20,167617112,3,24,t,"",hi-bank__tier-3
74,ویپاد,digital,برآیند,Barayand,credit_card,22.70,23.60,184601497,3,24,t,"",weepod__barayand
75,ویپاد,digital,برآیند چک‌یار,Barayand Chekyar,credit_card,23.70,25.70,211153664,3,24,t,"",weepod__barayand-chekyar
73,ویپاد,digital,پشتیبانه,Poshtibaneh,pos_based,19.90,21.90,765203058,6,36,t,"",weepod__poshtibaneh
72,ویپاد,digital,پیش‌درآمد,Pish Daramad,credit_card,19.30,20.10,111727079,3,24,t,"",weepod__pish-daramad
76,ویپاد,digital,پیمان,Peyman,credit_card,22.30,22.60,159341565,3,24,t,"",weepod__peyman
